date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,0.173889,1,1,0.007796,0.007796,0.001356,1,1001.360000,1007.830000,-6.470000,0.136000,0.783000,-0.647000,0.000000,0
2025-12-02,0.173889,1,1,0.002441,0.002441,0.000424,1,1001.780000,1010.290000,-8.510000,0.178000,1.029000,-0.851000,0.000000,0
2025-12-03,0.173889,1,1,-0.000931,-0.000931,-0.000162,0,1001.620000,1009.350000,-7.730000,0.162000,0.935000,-0.773000,-0.015972,1
2025-12-04,0.173889,1,1,0.004069,0.004069,0.000708,1,1002.330000,1013.460000,-11.130000,0.233000,1.346000,-1.113000,0.000000,0
2025-12-05,0.173889,1,1,-0.001920,-0.001920,-0.000334,0,1001.990000,1011.520000,-9.530000,0.199000,1.152000,-0.953000,-0.033921,1
2025-12-08,0.173889,1,1,0.001233,0.001233,0.000214,1,1002.210000,1012.770000,-10.560000,0.221000,1.277000,-1.056000,-0.011972,1
2025-12-09,0.173889,1,1,0.004087,0.004087,0.000711,1,1002.920000,1016.920000,-14.000000,0.292000,1.692000,-1.400000,0.000000,0
2025-12-10,0.173889,1,1,-0.003240,-0.003240,-0.000563,0,1002.360000,1013.630000,-11.270000,0.236000,1.363000,-1.127000,-0.055837,1
2025-12-11,0.173889,1,1,-0.019303,-0.019303,-0.003357,0,999.000000,994.250000,4.750000,-0.100000,-0.575000,0.475000,-0.390859,1
2025-12-12,0.173889,1,1,-0.005032,-0.005032,-0.000875,0,998.120000,989.260000,8.860000,-0.188000,-1.074000,0.886000,-0.478602,1
2025-12-15,0.173889,1,1,0.001980,0.001980,0.000344,1,998.470000,991.220000,7.250000,-0.153000,-0.878000,0.725000,-0.443704,1
2025-12-16,0.173889,1,1,-0.018711,-0.018711,-0.003254,0,995.220000,972.840000,22.380000,-0.478000,-2.716000,2.238000,-0.767758,1
