date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps,B_pred,B_actual,D_pred,D_actual
2008-11-18,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011381052434444427,-1,-0.05363579839468002,-1,0.05363579839468002,0.05363579839468002,,,,1,536.3579839468002,-0.011819092556834221,-0.0060164593160152435,-0.011381052434444427,-1.3795502580863528
2008-11-19,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.010701190680265427,-1,-0.049609940499067307,-1,0.049609940499067307,0.10324573889374733,,,,1,496.09940499067307,-0.012469084933400154,0.08865413069725037,-0.010701190680265427,-1.234032731259152
2008-11-20,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.009784387424588203,-1,0.042510632425546646,1,-0.042510632425546646,0.060735106468200684,,,,0,-425.10632425546646,-0.012980448082089424,0.13039687275886536,-0.009784387424588203,1.0195702067929981
2008-11-21,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011226363480091095,-1,0.059322528541088104,1,-0.059322528541088104,0.0014125779271125793,,,,0,-593.225285410881,-0.011718519032001495,0.009702088311314583,-0.011226363480091095,1.4078845529535253
2008-11-24,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.015054771676659584,-1,-0.0046038818545639515,-1,0.0046038818545639515,0.006016459781676531,,,,1,46.038818545639515,-0.013537852093577385,-0.016746971756219864,-0.015054771676659584,-0.10529690246968396
2008-11-25,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011583700776100159,-1,0.04103479161858559,1,-0.04103479161858559,-0.035018331836909056,,,,0,-410.34791618585587,-0.013953490182757378,0.015847941860556602,-0.011583700776100159,1.111254334073887
2008-11-26,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.01255989819765091,-1,-0.007867200300097466,-1,0.007867200300097466,-0.02715113153681159,,,,1,78.67200300097466,-0.015852300450205803,-0.053896866738796234,-0.01255989819765091,-0.2067849103956423
2008-11-28,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.012053128331899643,-1,-0.07818415015935898,-1,0.07818415015935898,0.05103301862254739,,,,1,781.8415015935898,-0.014445923268795013,-0.0062005408108234406,-0.012053128331899643,-2.0920149030097552
2008-12-01,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011460613459348679,-1,0.03287346661090851,1,-0.03287346661090851,0.01815955201163888,,,,0,-328.7346661090851,-0.011986484751105309,0.11061938107013702,-0.011460613459348679,0.7967744531761531
2008-12-02,fold_1,GFC peak crash (Lehman + Mar-2009 bottom),-0.011576291173696518,-1,0.027991032227873802,1,-0.027991032227873802,-0.009831480216234922,,,,0,-279.910322278738,-0.00977318175137043,0.07541601359844208,-0.011576291173696518,0.6679611691128471
