date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,1.000000,1,1,0.007796,0.007796,0.000780,1,1000.780000,1007.830000,-7.050000,0.078000,0.783000,-0.705000,0.000000,0
2025-12-02,1.000000,1,1,0.002441,0.002441,0.000244,1,1001.020000,1010.290000,-9.270000,0.102000,1.029000,-0.927000,0.000000,0
2025-12-03,1.000000,1,1,-0.000931,-0.000931,-0.000093,0,1000.930000,1009.350000,-8.420000,0.093000,0.935000,-0.842000,-0.008991,1
2025-12-04,1.000000,1,1,0.004069,0.004069,0.000407,1,1001.340000,1013.460000,-12.120000,0.134000,1.346000,-1.212000,0.000000,0
2025-12-05,1.000000,1,1,-0.001920,-0.001920,-0.000192,0,1001.150000,1011.520000,-10.370000,0.115000,1.152000,-1.037000,-0.018975,1
2025-12-08,1.000000,1,1,0.001233,0.001233,0.000123,1,1001.270000,1012.770000,-11.500000,0.127000,1.277000,-1.150000,-0.006991,1
2025-12-09,1.000000,1,1,0.004087,0.004087,0.000409,1,1001.680000,1016.920000,-15.240000,0.168000,1.692000,-1.524000,0.000000,0
2025-12-10,1.000000,1,1,-0.003240,-0.003240,-0.000324,0,1001.350000,1013.630000,-12.280000,0.135000,1.363000,-1.228000,-0.032945,1
2025-12-11,1.000000,1,1,-0.019303,-0.019303,-0.000567,0,1000.790000,994.250000,6.540000,0.079000,-0.575000,0.654000,-0.088851,1
2025-12-12,1.000000,1,1,-0.005032,-0.005032,-0.000503,0,1000.280000,989.260000,11.020000,0.028000,-1.074000,1.102000,-0.139765,1
2025-12-15,1.000000,1,1,0.001980,0.001980,0.000198,1,1000.480000,991.220000,9.260000,0.048000,-0.878000,0.926000,-0.119799,1
2025-12-16,1.000000,1,1,-0.018711,-0.018711,-0.000585,0,999.900000,972.840000,27.060000,-0.010000,-2.716000,2.706000,-0.177701,1
2025-12-17,1.000000,1,1,0.014386,0.014386,0.001439,1,1001.340000,986.940000,14.400000,0.134000,-1.306000,1.440000,-0.033943,1
2025-12-18,1.000000,1,1,0.012951,0.012951,0.001295,1,1002.630000,999.810000,2.820000,0.263000,-0.019000,0.282000,0.000000,0
2025-12-19,1.000000,1,1,0.004782,0.004782,0.000478,1,1003.110000,1004.600000,-1.490000,0.311000,0.460000,-0.149000,0.000000,0
2025-12-22,1.000000,1,1,0.004672,0.004672,0.000467,1,1003.580000,1009.300000,-5.720000,0.358000,0.930000,-0.572000,0.000000,0
2025-12-23,1.000000,1,1,0.002921,0.002921,0.000292,1,1003.870000,1012.260000,-8.390000,0.387000,1.226000,-0.839000,0.000000,0
2025-12-24,1.000000,1,1,-0.000064,-0.000064,-0.000006,0,1003.870000,1012.190000,-8.320000,0.387000,1.219000,-0.832000,0.000000,0
2025-12-26,1.000000,1,1,-0.004852,-0.004852,-0.000485,0,1003.380000,1007.290000,-3.910000,0.338000,0.729000,-0.391000,-0.048811,1
2025-12-29,1.000000,1,1,-0.002322,-0.002322,-0.000232,0,1003.150000,1004.960000,-1.810000,0.315000,0.496000,-0.181000,-0.071722,1
2025-12-30,1.000000,1,1,-0.008300,-0.008300,-0.000573,0,1002.570000,996.650000,5.920000,0.257000,-0.335000,0.592000,-0.129499,1
2025-12-31,1.000000,1,1,-0.001939,-0.001939,-0.000194,0,1002.380000,994.720000,7.660000,0.238000,-0.528000,0.766000,-0.148426,1
