date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,1.000000,1,1,0.007796,0.007796,0.001750,1,1001.750000,1007.830000,-6.080000,0.175000,0.783000,-0.608000,0.000000,0
2025-12-02,1.000000,1,1,0.002441,0.002441,0.001746,1,1003.500000,1010.290000,-6.790000,0.350000,1.029000,-0.679000,0.000000,0
2025-12-03,1.000000,1,1,-0.000931,-0.000931,-0.000854,0,1002.650000,1009.350000,-6.700000,0.265000,0.935000,-0.670000,-0.084704,1
2025-12-04,1.000000,1,1,0.004069,0.004069,0.001741,1,1004.390000,1013.460000,-9.070000,0.439000,1.346000,-0.907000,0.000000,0
2025-12-05,1.000000,1,1,-0.001920,-0.001920,-0.001595,0,1002.790000,1011.520000,-8.730000,0.279000,1.152000,-0.873000,-0.159301,1
2025-12-08,1.000000,1,1,0.001233,0.001233,0.001310,1,1004.110000,1012.770000,-8.660000,0.411000,1.277000,-0.866000,-0.027878,1
2025-12-09,1.000000,1,1,0.004087,0.004087,0.001744,1,1005.860000,1016.920000,-11.060000,0.586000,1.692000,-1.106000,0.000000,0
2025-12-10,1.000000,1,1,-0.003240,-0.003240,-0.001595,0,1004.260000,1013.630000,-9.370000,0.426000,1.363000,-0.937000,-0.159068,1
2025-12-11,1.000000,1,1,-0.019303,-0.019303,-0.001602,0,1002.650000,994.250000,8.400000,0.265000,-0.575000,0.840000,-0.319130,1
2025-12-12,1.000000,1,1,-0.005032,-0.005032,-0.001590,0,1001.060000,989.260000,11.800000,0.106000,-1.074000,1.180000,-0.477204,1
2025-12-15,1.000000,1,1,0.001980,0.001980,0.001744,1,1002.800000,991.220000,11.580000,0.280000,-0.878000,1.158000,-0.304217,1
2025-12-16,1.000000,1,1,-0.018711,-0.018711,-0.001592,0,1001.210000,972.840000,28.370000,0.121000,-2.716000,2.837000,-0.462291,1
2025-12-17,1.000000,1,1,0.014386,0.014386,0.001749,1,1002.960000,986.940000,16.020000,0.296000,-1.306000,1.602000,-0.288311,1
2025-12-18,1.000000,1,1,0.012951,0.012951,0.001744,1,1004.710000,999.810000,4.900000,0.471000,-0.019000,0.490000,-0.114330,1
2025-12-19,1.000000,1,1,0.004782,0.004782,0.001732,1,1006.450000,1004.600000,1.850000,0.645000,0.460000,0.185000,0.000000,0
2025-12-22,1.000000,1,1,0.004672,0.004672,0.001728,1,1008.190000,1009.300000,-1.110000,0.819000,0.930000,-0.111000,0.000000,0
2025-12-23,1.000000,1,1,0.002921,0.002921,0.001726,1,1009.930000,1012.260000,-2.330000,0.993000,1.226000,-0.233000,0.000000,0
2025-12-24,1.000000,1,1,-0.000064,-0.000064,-0.000006,0,1009.930000,1012.190000,-2.260000,0.993000,1.219000,-0.226000,0.000000,0
2025-12-26,1.000000,1,1,-0.004852,-0.004852,-0.001608,0,1008.310000,1007.290000,1.020000,0.831000,0.729000,0.102000,-0.160407,1
2025-12-29,1.000000,1,1,-0.002322,-0.002322,-0.001602,0,1006.690000,1004.960000,1.730000,0.669000,0.496000,0.173000,-0.320814,1
2025-12-30,1.000000,1,1,-0.008300,-0.008300,-0.001599,0,1005.080000,996.650000,8.430000,0.508000,-0.335000,0.843000,-0.480231,1
2025-12-31,1.000000,1,1,-0.001939,-0.001939,-0.001596,0,1003.480000,994.720000,8.760000,0.348000,-0.528000,0.876000,-0.638658,1
2026-01-02,1.000000,1,1,0.007912,0.007912,0.001739,1,1005.230000,1002.620000,2.610000,0.523000,0.262000,0.261000,-0.465379,1
2026-01-05,1.000000,1,1,0.008748,0.008748,0.001740,1,1006.980000,1011.430000,-4.450000,0.698000,1.143000,-0.445000,-0.292099,1
2026-01-06,1.000000,1,1,0.000962,0.000962,0.001033,1,1008.020000,1012.400000,-4.380000,0.802000,1.240000,-0.438000,-0.189122,1
2026-01-07,1.000000,1,1,-0.005705,-0.005705,-0.001593,0,1006.410000,1006.640000,-0.230000,0.641000,0.664000,-0.023000,-0.348539,1
2026-01-08,1.000000,1,1,0.009911,0.009911,0.001741,1,1008.170000,1016.670000,-8.500000,0.817000,1.667000,-0.850000,-0.174270,1
2026-01-09,1.000000,1,1,0.000829,0.000829,0.000897,1,1009.070000,1017.510000,-8.440000,0.907000,1.751000,-0.844000,-0.085154,1
