date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,1.000000,1,1,0.007796,0.007796,0.000218,1,1000.220000,1007.830000,-7.610000,0.022000,0.783000,-0.761000,0.000000,0
2025-12-02,1.000000,1,1,0.002441,0.002441,0.000198,1,1000.420000,1010.290000,-9.870000,0.042000,1.029000,-0.987000,0.000000,0
2025-12-03,1.000000,1,1,-0.000931,-0.000931,0.000183,0,1000.600000,1009.350000,-8.750000,0.060000,0.935000,-0.875000,0.000000,0
2025-12-04,1.000000,1,1,0.004069,0.004069,0.000172,1,1000.770000,1013.460000,-12.690000,0.077000,1.346000,-1.269000,0.000000,0
2025-12-05,1.000000,1,1,-0.001920,-0.001920,0.000159,0,1000.930000,1011.520000,-10.590000,0.093000,1.152000,-1.059000,0.000000,0
2025-12-08,1.000000,1,1,0.001233,0.001233,0.000185,1,1001.110000,1012.770000,-11.660000,0.111000,1.277000,-1.166000,0.000000,0
2025-12-09,1.000000,1,1,0.004087,0.004087,0.000185,1,1001.300000,1016.920000,-15.620000,0.130000,1.692000,-1.562000,0.000000,0
2025-12-10,1.000000,1,1,-0.003240,-0.003240,0.000160,0,1001.460000,1013.630000,-12.170000,0.146000,1.363000,-1.217000,0.000000,0
2025-12-11,1.000000,1,1,-0.019303,-0.019303,0.000131,0,1001.590000,994.250000,7.340000,0.159000,-0.575000,0.734000,0.000000,0
2025-12-12,1.000000,1,1,-0.005032,-0.005032,0.000182,0,1001.770000,989.260000,12.510000,0.177000,-1.074000,1.251000,0.000000,0
2025-12-15,1.000000,1,1,0.001980,0.001980,0.000184,1,1001.960000,991.220000,10.740000,0.196000,-0.878000,1.074000,0.000000,0
2025-12-16,1.000000,1,1,-0.018711,-0.018711,0.000172,0,1002.130000,972.840000,29.290000,0.213000,-2.716000,2.929000,0.000000,0
2025-12-17,1.000000,1,1,0.014386,0.014386,0.000211,1,1002.340000,986.940000,15.400000,0.234000,-1.306000,1.540000,0.000000,0
2025-12-18,1.000000,1,1,0.012951,0.012951,0.000184,1,1002.530000,999.810000,2.720000,0.253000,-0.019000,0.272000,0.000000,0
2025-12-19,1.000000,1,1,0.004782,0.004782,0.000134,1,1002.660000,1004.600000,-1.940000,0.266000,0.460000,-0.194000,0.000000,0
2025-12-22,1.000000,1,1,0.004672,0.004672,0.000120,1,1002.780000,1009.300000,-6.520000,0.278000,0.930000,-0.652000,0.000000,0
2025-12-23,1.000000,1,1,0.002921,0.002921,0.000112,1,1002.890000,1012.260000,-9.370000,0.289000,1.226000,-0.937000,0.000000,0
2025-12-24,1.000000,1,1,-0.000064,-0.000064,0.000106,0,1003.000000,1012.190000,-9.190000,0.300000,1.219000,-0.919000,0.000000,0
2025-12-26,1.000000,1,1,-0.004852,-0.004852,0.000110,0,1003.110000,1007.290000,-4.180000,0.311000,0.729000,-0.418000,0.000000,0
2025-12-29,1.000000,1,1,-0.002322,-0.002322,0.000131,0,1003.240000,1004.960000,-1.720000,0.324000,0.496000,-0.172000,0.000000,0
