date,position,pred_direction,traded,actual_ret_1d,bh_log_ret,strategy_pnl,correct,equity_dollars,buy_hold_dollars,excess_dollars,cumret_pct,bh_cumret_pct,excess_cumret_pct,drawdown_pct,underwater
2025-12-01,1.000000,1,1,0.007796,0.007796,0.008097,1,1008.130000,1007.830000,0.300000,0.813000,0.783000,0.030000,0.000000,0
2025-12-02,1.000000,1,1,0.002441,0.002441,0.002719,1,1010.870000,1010.290000,0.580000,1.087000,1.029000,0.058000,0.000000,0
2025-12-03,1.000000,1,1,-0.000931,-0.000931,-0.000672,0,1010.200000,1009.350000,0.850000,1.020000,0.935000,0.085000,-0.066280,1
2025-12-04,1.000000,1,1,0.004069,0.004069,0.004315,1,1014.560000,1013.460000,1.100000,1.456000,1.346000,0.110000,0.000000,0
2025-12-05,1.000000,1,1,-0.001920,-0.001920,-0.001690,0,1012.850000,1011.520000,1.330000,1.285000,1.152000,0.133000,-0.168546,1
2025-12-08,1.000000,1,1,0.001233,0.001233,0.001495,1,1014.370000,1012.770000,1.600000,1.437000,1.277000,0.160000,-0.018727,1
2025-12-09,1.000000,1,1,0.004087,0.004087,0.004350,1,1018.790000,1016.920000,1.870000,1.879000,1.692000,0.187000,0.000000,0
2025-12-10,1.000000,1,1,-0.003240,-0.003240,-0.003009,0,1015.730000,1013.630000,2.100000,1.573000,1.363000,0.210000,-0.300356,1
2025-12-11,1.000000,1,1,-0.019303,-0.019303,-0.019107,0,996.500000,994.250000,2.250000,-0.350000,-0.575000,0.225000,-2.187890,1
2025-12-12,1.000000,1,1,-0.005032,-0.005032,-0.004773,0,991.760000,989.260000,2.500000,-0.824000,-1.074000,0.250000,-2.653147,1
2025-12-15,1.000000,1,1,0.001980,0.001980,0.002241,1,993.980000,991.220000,2.760000,-0.602000,-0.878000,0.276000,-2.435242,1
2025-12-16,1.000000,1,1,-0.018711,-0.018711,-0.018465,0,975.800000,972.840000,2.960000,-2.420000,-2.716000,0.296000,-4.219712,1
2025-12-17,1.000000,1,1,0.014386,0.014386,0.014679,1,990.230000,986.940000,3.290000,-0.977000,-1.306000,0.329000,-2.803326,1
2025-12-18,1.000000,1,1,0.012951,0.012951,0.013212,1,1003.400000,999.810000,3.590000,0.340000,-0.019000,0.359000,-1.510616,1
2025-12-19,1.000000,1,1,0.004782,0.004782,0.004981,1,1008.410000,1004.600000,3.810000,0.841000,0.460000,0.381000,-1.018856,1
2025-12-22,1.000000,1,1,0.004672,0.004672,0.004853,1,1013.320000,1009.300000,4.020000,1.332000,0.930000,0.402000,-0.536911,1
2025-12-23,1.000000,1,1,0.002921,0.002921,0.003092,1,1016.450000,1012.260000,4.190000,1.645000,1.226000,0.419000,-0.229684,1
2025-12-24,1.000000,1,1,-0.000064,-0.000064,0.000100,0,1016.560000,1012.190000,4.370000,1.656000,1.219000,0.437000,-0.218887,1
2025-12-26,1.000000,1,1,-0.004852,-0.004852,-0.004683,0,1011.810000,1007.290000,4.520000,1.181000,0.729000,0.452000,-0.685126,1
2025-12-29,1.000000,1,1,-0.002322,-0.002322,-0.002126,0,1009.660000,1004.960000,4.700000,0.966000,0.496000,0.470000,-0.896161,1
2025-12-30,1.000000,1,1,-0.008300,-0.008300,-0.008089,0,1001.520000,996.650000,4.870000,0.152000,-0.335000,0.487000,-1.695148,1
2025-12-31,1.000000,1,1,-0.001939,-0.001939,-0.001711,0,999.810000,994.720000,5.090000,-0.019000,-0.528000,0.509000,-1.862994,1
2026-01-02,1.000000,1,1,0.007912,0.007912,0.008145,1,1007.990000,1002.620000,5.370000,0.799000,0.262000,0.537000,-1.060081,1
2026-01-05,1.000000,1,1,0.008748,0.008748,0.008989,1,1017.090000,1011.430000,5.660000,1.709000,1.143000,0.566000,-0.166865,1
2026-01-06,1.000000,1,1,0.000962,0.000962,0.001189,1,1018.300000,1012.400000,5.900000,1.830000,1.240000,0.590000,-0.048096,1
2026-01-07,1.000000,1,1,-0.005705,-0.005705,-0.005464,0,1012.750000,1006.640000,6.110000,1.275000,0.664000,0.611000,-0.592860,1
2026-01-08,1.000000,1,1,0.009911,0.009911,0.010156,1,1023.090000,1016.670000,6.420000,2.309000,1.667000,0.642000,0.000000,0
